lambda,regularizer,val_acc,val_recall,val_pre,val_f1,train_acc
0.065071,,,,,,
2.964661,,,,,,
6.931281,l1,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.968789013732834
6.163091,,,,,,
5.457561,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
1.881291,l2,0.8787878787878788,0.8787878787878788,0.8784802902449962,0.8779481563026034,0.9887640449438202
3.068481,l2,0.8787878787878788,0.8787878787878788,0.8788157064627654,0.877704040971444,0.978776529338327
7.803651,l2,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9675405742821473
8.060391,,,,,,
9.014471,l1,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
5.715111,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
6.840261,,,,,,
6.068201,l1,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
8.735051,l1,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
7.133161,l1,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.968789013732834
0.149581,l1,0.8696969696969697,0.8696969696969696,0.8690275181410682,0.8688970660801646,0.9987515605493134
6.512531,l1,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.968789013732834
7.513861,l2,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.968789013732834
0.904381,l2,0.8727272727272727,0.8727272727272727,0.8721626581667149,0.8718203092055155,0.9950062421972534
8.361461,l1,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
0.783211,,,,,,
3.089911,l2,0.8787878787878788,0.8787878787878788,0.8788157064627654,0.877704040971444,0.978776529338327
9.333481,,,,,,
0.599441,,,,,,
4.969651,l2,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9712858926342073
1.726071,,,,,,
7.195661,,,,,,
5.660191,,,,,,
3.884411,,,,,,
4.427911,l1,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9737827715355806
0.264071,l1,0.8666666666666667,0.8666666666666667,0.8660211210921149,0.8657258026100906,0.9987515605493134
0.229841,l2,0.8696969696969697,0.8696969696969696,0.8692100201976332,0.8689448454095682,1.0
5.851051,l1,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
5.909951,,,,,,
7.954391,l1,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9675405742821473
8.939111,l2,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
5.618801,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
9.625741,l1,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9650436953807741
8.131291,,,,,,
6.309871,l1,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.968789013732834
3.495681,,,,,,
8.568311,l2,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
4.619131,l1,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9737827715355806
7.068891,,,,,,
2.159951,,,,,,
9.092261,l2,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
0.416381,,,,,,
0.984781,l2,0.8727272727272727,0.8727272727272727,0.8724213075060533,0.871561787351261,0.9937578027465668
1.409141,,,,,,
5.820711,l1,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
3.147011,l1,0.8787878787878788,0.8787878787878788,0.8788157064627654,0.877704040971444,0.9775280898876404
6.448081,,,,,,
4.283121,l2,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9737827715355806
3.742511,,,,,,
3.003941,l1,0.8787878787878788,0.8787878787878788,0.8788157064627654,0.877704040971444,0.978776529338327
5.862341,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
4.493371,l1,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9737827715355806
5.741121,,,,,,
7.372981,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.968789013732834
3.272151,l2,0.8787878787878788,0.8787878787878788,0.8788157064627654,0.877704040971444,0.9775280898876404
2.430281,l1,0.8787878787878788,0.8787878787878788,0.8784802902449962,0.8779481563026034,0.9812734082397003
7.052861,l1,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.968789013732834
